chapter_number	verse_number	token_number	arabic	embedding_id	translation	pause_mark	irab_end	chunk_end
1	1	1	بِسْمِ	1086	In (the) name	0	1	0
1	1	2	ٱللَّهِ	4	(of) Allah,	0	1	0
1	1	3	ٱلرَّحْمَٰنِ	128	the Most Gracious,	0	0	0
1	1	4	ٱلرَّحِيمِ	829	the Most Merciful.	0	1	1
1	2	1	ٱلْحَمْدُ	552	All praises and thanks	0	0	0
1	2	2	لِلَّهِ	210	(be) to Allah,	0	1	0
1	2	3	رَبِّ	393	the Lord	0	0	0
1	2	4	ٱلْعَٰلَمِينَ	1277	of the universe	0	1	1
1	3	1	ٱلرَّحْمَٰنِ	128	The Most Gracious,	0	0	0
1	3	2	ٱلرَّحِيمِ	829	the Most Merciful.	0	1	1
1	4	1	مَٰلِكِ	163	(The) Master	0	0	0
1	4	2	يَوْمِ	93	(of the) Day	0	0	0
1	4	3	ٱلدِّينِ	114	(of the) Judgment.	0	1	1
1	5	1	إِيَّاكَ	6866	You Alone	0	0	0
1	5	2	نَعْبُدُ	10992	we worship,	0	1	0
1	5	3	وَإِيَّاكَ	5985	and You Alone	0	0	0
1	5	4	نَسْتَعِينُ	17501	we ask for help.	0	1	1
1	6	1	ٱهْدِنَا	25768	Guide us	0	1	0
1	6	2	ٱلصِّرَٰطَ	5705	(to) the path,	0	0	0
1	6	3	ٱلْمُسْتَقِيمَ	6027	the straight.	0	1	1
1	7	1	صِرَٰطَ	8279	(The) path	0	0	0
1	7	2	ٱلَّذِينَ	101	(of) those	0	1	0
1	7	3	أَنْعَمْتَ	19271	You have bestowed (Your) Favors	0	0	0
1	7	4	عَلَيْهِمْ	193	on them,	0	1	1
1	7	5	غَيْرِ	47	not (of)	0	1	0
1	7	6	ٱلْمَغْضُوبِ	22089	those who earned (Your) wrath	0	0	0
1	7	7	عَلَيْهِمْ	193	on themselves	0	1	0
1	7	8	وَلَا	19	and not	0	0	0
1	7	9	ٱلضَّآلِّينَ	14342	(of) those who go astray.	0	1	1
2	1	1	الٓمٓ	1424	alif lām mīm.	0	1	1
2	2	1	ذَٰلِكَ	15	That	0	0	0
2	2	2	ٱلْكِتَٰبُ	166	(is) the book	0	1	0
2	2	3	لَا	10	no	0	0	0
2	2	4	رَيْبَ	4550	doubt	6	0	0
2	2	5	فِيهِ	40	in it,	6	1	1
2	2	6	هُدًى	3787	a Guidance	0	0	0
2	2	7	لِّلْمُتَّقِينَ	11787	for the God-conscious.	0	1	1
2	3	1	ٱلَّذِينَ	101	Those who	0	0	0
2	3	2	يُؤْمِنُونَ	225800	believe	0	0	0
2	3	3	بِٱلْغَيْبِ	12254	in the unseen,	0	1	0
2	3	4	وَيُقِيمُونَ	38894	and establish	0	0	0
2	3	5	ٱلصَّلَوٰةَ	125	the prayer,	0	1	1
2	3	6	وَمِمَّا	1658	and out of what	0	0	0
2	3	7	رَزَقْنَٰهُمْ	31601	We have provided them	0	0	0
2	3	8	يُنفِقُونَ	13192	they spend.	0	1	1
2	4	1	وَٱلَّذِينَ	1426	And those who	0	0	0
2	4	2	يُؤْمِنُونَ	225800	believe	0	0	0
2	4	3	بِمَآ	90	in what	0	1	0
2	4	4	أُنزِلَ	1181	(is) sent down	0	0	0
2	4	5	إِلَيْكَ	836	to you	0	1	1
2	4	6	وَمَآ	76	and what	0	0	0
2	4	7	أُنزِلَ	1181	was sent down	0	0	0
2	4	8	مِن	2	from	0	0	0
2	4	9	قَبْلِكَ	6698	before you	0	1	1
2	4	10	وَبِٱلْءَاخِرَةِ	90432	and in the Hereafter	0	0	0
2	4	11	هُمْ	265	they	0	0	0
2	4	12	يُوقِنُونَ	24086	firmly believe.	0	1	1
2	5	1	أُو۟لَٰٓئِكَ	207615	Those	0	0	0
2	5	2	عَلَىٰ	5	(are) on	0	0	0
2	5	3	هُدًى	3787	Guidance	0	1	0
2	5	4	مِّن	2	from	0	0	0
2	5	5	رَّبِّهِمْ	2514	their Lord,	3	1	1
2	5	6	وَأُو۟لَٰٓئِكَ	662507	and those -	0	0	0
2	5	7	هُمُ	265	they	0	0	0
2	5	8	ٱلْمُفْلِحُونَ	20302	(are) the successful ones.	0	1	1
2	6	1	إِنَّ	3	Indeed,	0	0	0
2	6	2	ٱلَّذِينَ	101	those who	0	0	0
2	6	3	كَفَرُوا۟	2314	disbelieve[d],	0	1	0
2	6	4	سَوَآءٌ	385	(it) is same	0	0	0
2	6	5	عَلَيْهِمْ	193	to them	0	1	0
2	6	6	ءَأَنذَرْتَهُمْ	58265	whether you warn them	0	0	1
2	6	7	أَمْ	140	or	0	0	0
2	6	8	لَمْ	24	not	0	1	0
2	6	9	تُنذِرْهُمْ	63635	you warn them,	0	1	1
2	6	10	لَا	10	not	0	0	0
2	6	11	يُؤْمِنُونَ	225800	they believe.	0	1	1
2	7	1	خَتَمَ	6835	Has set a seal	0	0	0
2	7	2	ٱللَّهُ	4	Allah	0	1	0
2	7	3	عَلَىٰ	5	on	0	0	0
2	7	4	قُلُوبِهِمْ	2063	their hearts	0	1	0
2	7	5	وَعَلَىٰ	169	and on	0	0	0
2	7	6	سَمْعِهِمْ	43146	their hearing,	3	1	1
2	7	7	وَعَلَىٰٓ	169	and on	0	0	0
2	7	8	أَبْصَٰرِهِمْ	14355	their vision	0	0	0
2	7	9	غِشَٰوَةٌ	40031	(is) a veil.	3	1	1
2	7	10	وَلَهُمْ	4274	And for them	0	0	0
2	7	11	عَذَابٌ	1554	(is) a punishment	0	0	0
2	7	12	عَظِيمٌ	1341	great.	0	1	1
2	8	1	وَمِنَ	61	And of	0	0	0
2	8	2	ٱلنَّاسِ	78	the people	0	0	0
2	8	3	مَن	2	(are some) who	0	0	0
2	8	4	يَقُولُ	83	say,	0	1	0
2	8	5	ءَامَنَّا	4191	"We believed	0	0	0
2	8	6	بِٱللَّهِ	338	in Allah	0	1	0
2	8	7	وَبِٱلْيَوْمِ	61817	and in the Day	0	0	0
2	8	8	ٱلْءَاخِرِ	367	[the] Last,"	0	1	1
2	8	9	وَمَا	76	but not	0	0	0
2	8	10	هُم	265	they	0	0	0
2	8	11	بِمُؤْمِنِينَ	1142030	(are) believers (at all).	0	1	1
2	9	1	يُخَٰدِعُونَ	43321	They seek to deceive	0	0	0
2	9	2	ٱللَّهَ	4	Allah	0	1	0
2	9	3	وَٱلَّذِينَ	1426	and those who	0	0	0
2	9	4	ءَامَنُوا۟	992	believe[d],	0	1	1
2	9	5	وَمَا	76	and not	0	0	0
2	9	6	يَخْدَعُونَ	62232	they deceive	0	0	0
2	9	7	إِلَّآ	27	except	0	1	0
2	9	8	أَنفُسَهُمْ	1172	themselves,	0	1	1
2	9	9	وَمَا	76	and not	0	0	0
2	9	10	يَشْعُرُونَ	11126	they realize (it).	0	1	1
2	10	1	فِى	1	In	0	0	0
2	10	2	قُلُوبِهِم	2063	their hearts	0	0	0
2	10	3	مَّرَضٌ	2013	(is) a disease,	0	1	1
2	10	4	فَزَادَهُمُ	39072	so has increased them	0	1	0
2	10	5	ٱللَّهُ	4	Allah	0	0	0
2	10	6	مَرَضًا	19125	(in) disease;	3	1	1
2	10	7	وَلَهُمْ	4274	and for them	0	0	0
2	10	8	عَذَابٌ	1554	(is) a punishment	0	0	0
2	10	9	أَلِيمٌۢ	6150	painful	0	1	0
2	10	10	بِمَا	90	because	0	0	0
2	10	11	كَانُوا۟	302	they used to	0	1	0
2	10	12	يَكْذِبُونَ	19703	[they] lie.	0	1	1
2	11	1	وَإِذَا	194	And when	0	0	0
2	11	2	قِيلَ	272	it is said	0	0	0
2	11	3	لَهُمْ	124	to them,	0	1	0
2	11	4	لَا	10	"(Do) not	0	0	0
2	11	5	تُفْسِدُوا۟	39300	spread corruption	0	0	0
2	11	6	فِى	1	in	0	0	0
2	11	7	ٱلْأَرْضِ	178	the earth,"	0	1	1
2	11	8	قَالُوٓا۟	266	they say,	0	1	0
2	11	9	إِنَّمَا	180	"Only	0	0	0
2	11	10	نَحْنُ	660	we	0	0	0
2	11	11	مُصْلِحُونَ	56185	(are) reformers."	0	1	1
2	12	1	أَلَآ	27	Beware,	0	0	0
2	12	2	إِنَّهُمْ	313	indeed they	0	1	0
2	12	3	هُمُ	265	themselves	0	0	0
2	12	4	ٱلْمُفْسِدُونَ	59490	(are) the ones who spread corruption,	0	1	1
2	12	5	وَلَٰكِن	142	[and] but	0	0	0
2	12	6	لَّا	10	not	0	0	0
2	12	7	يَشْعُرُونَ	11126	they realize (it).	0	1	1
2	13	1	وَإِذَا	194	And when	0	0	0
2	13	2	قِيلَ	272	it is said	0	0	0
2	13	3	لَهُمْ	124	to them,	0	0	0
2	13	4	ءَامِنُوا۟	992	"Believe	0	1	0
2	13	5	كَمَآ	41	as	0	0	0
2	13	6	ءَامَنَ	1148	believed	0	0	0
2	13	7	ٱلنَّاسُ	78	the people,"	0	1	1
2	13	8	قَالُوٓا۟	266	they say,	0	1	0
2	13	9	أَنُؤْمِنُ	769335	"Should we believe	0	1	0
2	13	10	كَمَآ	41	as	0	0	0
2	13	11	ءَامَنَ	1148	believed	0	0	0
2	13	12	ٱلسُّفَهَآءُ	14758	the fools?"	4	1	1
2	13	13	أَلَآ	27	Beware,	0	0	0
2	13	14	إِنَّهُمْ	313	certainly they	0	0	0
2	13	15	هُمُ	265	themselves	0	0	0
2	13	16	ٱلسُّفَهَآءُ	14758	(are) the fools	0	0	1
2	13	17	وَلَٰكِن	142	[and] but	0	0	0
2	13	18	لَّا	10	not	0	0	0
2	13	19	يَعْلَمُونَ	2790	they know.	0	1	1
2	14	1	وَإِذَا	194	And when	0	0	0
2	14	2	لَقُوا۟	22438	they meet	0	1	0
2	14	3	ٱلَّذِينَ	101	those who	0	0	0
2	14	4	ءَامَنُوا۟	992	believe[d],	0	1	0
2	14	5	قَالُوٓا۟	266	they say,	0	0	0
2	14	6	ءَامَنَّا	4191	"We believe[d]."	0	1	1
2	14	7	وَإِذَا	194	But when	0	0	0
2	14	8	خَلَوْا۟	16619	they are alone	0	0	0
2	14	9	إِلَىٰ	8	with	0	0	0
2	14	10	شَيَٰطِينِهِمْ	60407	their evil ones,	0	1	1
2	14	11	قَالُوٓا۟	266	they say,	0	0	0
2	14	12	إِنَّا	94	"Indeed, we	0	0	0
2	14	13	مَعَكُمْ	5756	(are) with you,	0	1	1
2	14	14	إِنَّمَا	180	only	0	0	0
2	14	15	نَحْنُ	660	we	0	0	0
2	14	16	مُسْتَهْزِءُونَ	854363	(are) mockers."	0	1	1
2	15	1	ٱللَّهُ	4	Allah	0	0	0
2	15	2	يَسْتَهْزِئُ	928549	mocks	0	0	0
